node_id,prefecture,municipality,inflow,outflow,net_flow,latitude,longitude
兵庫県丹波篠山市,兵庫県,丹波篠山市,14,8,6,34.6913,135.183
三重県鈴鹿市,三重県,鈴鹿市,6,0,6,35.0,135.0
広島県広島市安佐南区,広島県,広島市安佐南区,6,0,6,35.0,135.0
愛知県小牧市,愛知県,小牧市,6,0,6,35.0,135.0
広島県広島市南区,広島県,広島市南区,6,0,6,35.0,135.0
埼玉県戸田市,埼玉県,戸田市,6,0,6,35.8617,139.6455
愛知県豊田市,愛知県,豊田市,6,0,6,35.0,135.0
東京都国立市,東京都,国立市,6,0,6,35.6895,139.6917
栃木県宇都宮市,栃木県,宇都宮市,6,0,6,36.5657,139.8836
東京都あきる野市,東京都,あきる野市,6,0,6,35.6895,139.6917
岐阜県,岐阜県,,6,0,6,35.0,135.0
埼玉県加須市,埼玉県,加須市,5,0,5,35.8617,139.6455
茨城県水戸市,茨城県,水戸市,5,0,5,36.3418,140.4467
茨城県守谷市,茨城県,守谷市,5,0,5,36.3418,140.4467
奈良県生駒郡安堵町,奈良県,生駒郡安堵町,5,0,5,34.6851,135.805
栃木県,栃木県,,5,0,5,36.5657,139.8836
兵庫県豊岡市,兵庫県,豊岡市,9,4,5,34.6913,135.183
東京都昭島市,東京都,昭島市,5,0,5,35.6895,139.6917
福岡県朝倉市,福岡県,朝倉市,5,0,5,35.0,135.0
茨城県結城市,茨城県,結城市,5,0,5,36.3418,140.4467
福岡県福岡市早良区,福岡県,福岡市早良区,11,6,5,35.0,135.0
愛知県江南市,愛知県,江南市,5,0,5,35.0,135.0
福岡県福岡市城南区,福岡県,福岡市城南区,5,0,5,35.0,135.0
愛知県犬山市,愛知県,犬山市,5,0,5,35.0,135.0
京都府福知山市,京都府,福知山市,56,51,5,35.0116,135.7681
岐阜県大垣市,岐阜県,大垣市,5,0,5,35.0,135.0
茨城県ひたちなか市,茨城県,ひたちなか市,5,0,5,36.3418,140.4467
島根県,島根県,,5,0,5,35.0,135.0
東京都小金井市,東京都,小金井市,5,0,5,35.6895,139.6917
埼玉県さいたま市浦和区,埼玉県,さいたま市浦和区,5,0,5,35.8617,139.6455
兵庫県西脇市,兵庫県,西脇市,5,0,5,34.6913,135.183
大阪府大阪市此花区,大阪府,大阪市此花区,32,27,5,34.6937,135.5023
神奈川県伊勢原市,神奈川県,伊勢原市,5,0,5,35.4478,139.6425
栃木県足利市,栃木県,足利市,5,0,5,36.5657,139.8836
静岡県富士宮市,静岡県,富士宮市,5,0,5,35.0,135.0
愛知県豊明市,愛知県,豊明市,5,0,5,35.0,135.0
北海道,北海道,,5,0,5,35.0,135.0
福岡県那珂川市,福岡県,那珂川市,5,0,5,35.0,135.0
滋賀県蒲生郡竜王町,滋賀県,蒲生郡竜王町,5,0,5,35.0045,135.8686
埼玉県熊谷市,埼玉県,熊谷市,6,1,5,35.8617,139.6455
沖縄県沖縄市,沖縄県,沖縄市,5,0,5,35.0,135.0
和歌山県橋本市,和歌山県,橋本市,5,0,5,35.0,135.0
岐阜県多治見市,岐阜県,多治見市,5,0,5,35.0,135.0
静岡県静岡市葵区,静岡県,静岡市葵区,6,1,5,35.0,135.0
東京都西東京市,東京都,西東京市,9,4,5,35.6895,139.6917
埼玉県桶川市,埼玉県,桶川市,5,0,5,35.8617,139.6455
広島県広島市西区,広島県,広島市西区,5,0,5,35.0,135.0
奈良県吉野郡大淀町,奈良県,吉野郡大淀町,5,0,5,34.6851,135.805
埼玉県蓮田市,埼玉県,蓮田市,5,0,5,35.8617,139.6455
